
16,16,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[116;141;48;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[17;37;57;77],1360,2,149,,16,RIGHT,,16,0
17,17,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[104;129;36;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[5;25;45;65],1360,2,149,,17,RIGHT,,17,160
18,18,0,[83;-1;-1;-1],[83;-1;-1;-1],[92;117;24;-1],[97;-1;-1;-1],LEFT,[LEFT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;13;33;53],1360,2,149,,18,LEFT,,18,160
19,19,0,[111;127;133;127],[111;127;133;127],[140;165;-1;-1],[97;97;97;97],RIGHT,[DOWN;LEFT;LEFT;LEFT],[159;159;0;0],[0;0;0;0],1520,2,138,,19,RIGHT,,19,0
20,20,0,[105;134;170;103],[105;134;170;103],[165;140;-1;-1],[97;97;97;97],RIGHT,[RIGHT;LEFT;UP;RIGHT],[123;123;0;0],[0;0;0;0],1520,2,138,,20,RIGHT,,20,0
21,21,0,[87;116;168;79],[87;116;168;79],[153;128;-1;-1],[97;97;97;97],RIGHT,[RIGHT;LEFT;LEFT;RIGHT],[111;111;0;0],[0;0;0;0],1520,2,138,,21,LEFT,,21,30
22,22,0,[71;54;122;81],[71;54;122;81],[117;92;-1;-1],[102;97;97;102],LEFT,[RIGHT;DOWN;DOWN;UP],[59;59;0;0],[0;0;0;0],1520,2,138,,22,UP,,22,60
23,23,0,[55;36;104;81],[55;36;104;81],[105;80;-1;-1],[102;97;97;102],UP,[UP;LEFT;RIGHT;RIGHT],[47;47;0;0],[0;0;0;0],1550,2,135,,23,RIGHT,,23,30
24,24,0,[37;18;90;71],[37;18;90;71],[93;68;-1;-1],[102;97;97;102],UP,[UP;LEFT;RIGHT;UP],[35;35;0;0],[0;0;0;0],1580,2,132,,24,LEFT,,24,0
25,25,0,[18;35;77;81],[18;61;77;81],[105;80;-1;-1],[102;102;97;102],LEFT,[RIGHT;LEFT;LEFT;RIGHT],[0;0;0;0],[0;0;0;0],1580,2,132,,25,RIGHT,,25,0
26,26,0,[18;35;77;63],[18;61;77;63],[93;68;-1;-1],[102;102;97;102],UP,[RIGHT;UP;LEFT;DOWN],[0;0;0;0],[0;0;0;0],1580,2,132,,26,LEFT,,26,10
27,27,0,[79;37;67;63],[79;85;67;89],[68;93;-1;-1],[102;102;97;102],LEFT,[DOWN;UP;RIGHT;DOWN],[0;0;0;0],[0;0;0;0],1580,2,132,,27,UP,,27,80
28,28,0,[103;61;43;63],[135;67;43;71],[56;92;-1;-1],[102;102;97;102],UP,[DOWN;LEFT;RIGHT;LEFT],[0;0;0;0],[0;0;0;0],1590,2,131,,28,LEFT,,28,100
29,29,0,[135;37;13;89],[135;37;13;89],[28;85;-1;-1],[102;102;97;102],UP,[DOWN;RIGHT;UP;DOWN],[0;0;0;0],[0;0;0;0],1660,2,124,,29,RIGHT,,29,60
