
44,44,0,[113;49;56;100],[113;49;56;100],[80;105;-1;-1],[102;97;102;97],UP,[LEFT;LEFT;UP;LEFT],[123;0;123;123],[0;0;0;0],1650,3,145,,44,UP,,44,60
45,45,0,[107;25;50;82],[107;25;50;82],[68;93;-1;-1],[102;97;102;97],UP,[LEFT;LEFT;UP;LEFT],[111;0;111;111],[0;0;0;0],1680,3,142,,45,UP,,45,80
46,46,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[104;129;-1;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[26;46;66;86],1710,2,139,,46,UP,,46,50
47,47,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[80;105;-1;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[2;22;42;62],1760,2,134,,47,UP,,47,30
48,48,0,[56;-1;-1;-1],[56;-1;-1;-1],[68;93;-1;-1],[97;-1;-1;-1],UP,[LEFT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;10;30;50],1760,2,134,,48,UP,,48,30
49,49,0,[8;28;-1;-1],[8;28;-1;-1],[44;69;-1;-1],[97;97;-1;-1],UP,[LEFT;LEFT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;6;26],1790,2,131,,49,RIGHT,,49,0
50,50,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[165;140;-1;-1],[-1;-1;-1;-1],LEFT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[29;49;69;89],1790,1,131,,50,RIGHT,,50,20
51,51,0,[143;-1;-1;-1],[143;-1;-1;-1],[140;165;-1;-1],[102;-1;-1;-1],LEFT,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;13;33;53],1790,1,131,,51,RIGHT,,51,20
52,52,0,[121;-1;-1;-1],[121;-1;-1;-1],[128;153;-1;-1],[102;-1;-1;-1],LEFT,[RIGHT;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[0;1;21;41],1810,1,129,,52,UP,,52,0
53,53,0,[86;101;105;-1],[86;101;105;-1],[104;129;-1;-1],[102;102;102;-1],UP,[UP;RIGHT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;17],1810,1,129,,53,LEFT,,53,0
54,54,0,[86;80;100;-1],[86;80;100;-1],[92;117;-1;-1],[102;102;102;-1],LEFT,[UP;RIGHT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;5],1810,1,129,,54,UP,,54,0
55,55,0,[86;56;76;71],[86;56;76;71],[80;105;-1;-1],[102;102;102;97],UP,[UP;DOWN;RIGHT;LEFT],[0;0;0;0],[0;0;0;0],1810,1,129,,55,UP,,55,0
56,56,0,[86;32;52;47],[86;32;52;47],[68;93;-1;-1],[102;102;102;97],UP,[UP;DOWN;RIGHT;LEFT],[0;0;0;0],[0;0;0;0],1810,1,129,,56,UP,,56,0
57,57,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[40;76;124;149],[-1;-1;-1;-1],DOWN,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[30;50;70;90],30,3,217,,57,NEUTRAL,,57,60
58,58,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[52;64;136;148],[-1;-1;-1;-1],RIGHT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[18;38;58;78],60,3,214,,58,NEUTRAL,,58,100
59,59,0,[-1;-1;-1;-1],[-1;-1;-1;-1],[64;52;148;136],[-1;-1;-1;-1],RIGHT,[NEUTRAL;NEUTRAL;NEUTRAL;NEUTRAL],[0;0;0;0],[6;26;46;66],90,3,211,,59,DOWN,,59,70
60,60,0,[52;28;-1;-1],[52;28;-1;-1],[92;56;133;108],[97;102;-1;-1],RIGHT,[LEFT;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;18;38],160,3,204,,60,DOWN,,60,10
61,61,0,[52;4;-1;-1],[52;4;-1;-1],[93;68;121;96],[97;102;-1;-1],DOWN,[LEFT;RIGHT;NEUTRAL;NEUTRAL],[0;0;0;0],[0;0;6;26],160,3,204,,61,RIGHT,,61,40
62,62,0,[41;4;24;-1],[41;92;72;-1],[69;44;97;72],[97;102;102;-1],RIGHT,[UP;RIGHT;RIGHT;NEUTRAL],[0;0;0;0],[0;0;0;2],170,3,203,,62,UP,,62,70
63,63,0,[41;20;48;64],[41;100;56;69],[57;32;109;84],[97;102;102;97],UP,[UP;DOWN;UP;LEFT],[0;0;0;0],[0;0;0;0],200,3,200,,63,UP,,63,210
64,64,0,[68;52;48;69],[68;100;48;96],[73;16;125;100],[97;1148;102;97],UP,[RIGHT;DOWN;UP;LEFT],[0;0;0;0],[0;0;0;0],240,3,196,,64,RIGHT,,64,400
65,65,0,[60;60;8;80],[60;60;8;80],[85;137;112;-1],[97;1148;97;97],DOWN,[LEFT;UP;RIGHT;RIGHT],[163;163;163;163],[0;0;0;0],410,3,184,,65,LEFT,,65,250
66,66,0,[54;66;-1;66],[54;90;-1;66],[76;149;124;-1],[97;1148;-1;97],LEFT,[UP;UP;NEUTRAL;RIGHT],[151;151;0;151],[0;0;31;0],640,3,181,,66,LEFT,,66,20
67,67,0,[48;72;-1;60],[48;72;-1;60],[64;148;136;-1],[97;1148;-1;97],LEFT,[UP;UP;NEUTRAL;RIGHT],[139;139;0;139],[0;0;19;0],660,3,179,,67,LEFT,,67,0
68,68,0,[42;78;-1;54],[42;91;-1;54],[52;136;148;-1],[97;1148;-1;97],LEFT,[LEFT;UP;NEUTRAL;RIGHT],[127;127;0;127],[0;0;7;0],660,3,179,,68,LEFT,,68,30
69,69,0,[36;73;65;72],[36;73;65;72],[40;124;149;-1],[97;97;97;97],LEFT,[LEFT;UP;LEFT;RIGHT],[115;115;0;115],[0;0;0;0],660,3,179,,69,LEFT,,69,60
70,70,0,[30;55;41;66],[30;55;41;66],[28;112;137;-1],[97;97;97;97],LEFT,[LEFT;UP;LEFT;RIGHT],[103;103;0;103],[0;0;0;0],690,3,176,,70,LEFT,,70,590
