
37,37,0,[33;12;4;72],[71;12;4;72],[73;125;-1;-1],[97;97;97;1143],RIGHT,[RIGHT;UP;UP;RIGHT],[0;0;0;0],[0;0;0;0],1360,2,94,,37,LEFT,,37,0
38,38,0,[31;12;36;64],[31;12;36;64],[85;137;-1;-1],[97;97;97;97],DOWN,[UP;LEFT;LEFT;UP],[0;0;0;0],[0;0;0;0],1360,2,94,,38,LEFT,,38,140
39,39,0,[33;12;20;67],[89;12;20;67],[76;149;-1;-1],[97;97;97;97],LEFT,[LEFT;LEFT;UP;LEFT],[0;0;0;0],[0;0;0;0],1360,2,94,,39,UP,,39,140
40,40,0,[41;36;28;27],[41;36;28;27],[40;124;-1;-1],[97;97;97;97],DOWN,[LEFT;RIGHT;LEFT;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,40,DOWN,,40,0
41,41,0,[17;36;52;51],[17;36;84;77],[52;136;-1;-1],[97;97;97;97],RIGHT,[UP;DOWN;UP;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,41,DOWN,,41,0
42,42,0,[39;36;36;51],[41;36;36;51],[56;108;-1;-1],[97;97;97;1143],LEFT,[LEFT;RIGHT;DOWN;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,42,DOWN,,42,0
43,43,0,[63;36;36;51],[87;36;68;51],[68;96;-1;-1],[97;97;97;1143],DOWN,[UP;RIGHT;DOWN;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,43,DOWN,,43,0
44,44,0,[87;60;36;51],[135;84;108;51],[80;84;-1;-1],[97;97;97;1143],DOWN,[RIGHT;RIGHT;DOWN;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,44,RIGHT,,44,0
45,45,0,[113;84;60;75],[113;84;108;75],[104;84;-1;-1],[97;97;97;1143],RIGHT,[RIGHT;DOWN;RIGHT;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,45,RIGHT,,45,10
46,46,0,[89;60;84;99],[89;60;92;123],[116;96;-1;-1],[97;1143;97;1143],RIGHT,[DOWN;DOWN;UP;DOWN],[0;0;0;0],[0;0;0;0],1500,2,80,,46,DOWN,,46,60
47,47,0,[111;60;116;85],[135;60;129;85],[129;96;-1;-1],[97;1143;97;1143],RIGHT,[LEFT;UP;LEFT;RIGHT],[0;0;0;0],[0;0;0;0],1510,2,79,,47,UP,,47,50
48,48,0,[102;60;105;85],[102;60;105;85],[105;85;-1;-1],[97;1143;97;1143],RIGHT,[LEFT;DOWN;RIGHT;UP],[0;0;0;0],[0;0;0;0],1560,2,74,,48,UP,,48,0
49,49,0,[78;60;89;85],[78;60;89;98],[93;73;-1;-1],[97;1143;97;1143],UP,[LEFT;LEFT;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],1560,2,74,,49,RIGHT,,49,50
50,50,0,[76;47;89;72],[76;47;89;72],[68;48;-1;-1],[97;97;97;1143],RIGHT,[RIGHT;UP;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],1560,2,74,,50,UP,,50,50
51,51,0,[44;25;76;85],[44;25;76;109],[44;72;-1;-1],[97;97;97;1143],UP,[DOWN;RIGHT;RIGHT;RIGHT],[0;0;0;0],[0;0;0;0],1610,2,69,,51,LEFT,,51,0
52,52,0,[36;49;54;85],[36;81;54;85],[32;84;-1;-1],[97;97;97;1143],UP,[RIGHT;RIGHT;UP;RIGHT],[0;0;0;0],[0;0;0;0],1610,2,69,,52,DOWN,,52,140
53,53,0,[36;81;86;117],[36;81;89;165],[16;100;-1;-1],[97;97;97;1143],UP,[UP;RIGHT;RIGHT;DOWN],[0;0;0;0],[0;0;0;0],1610,2,69,,53,LEFT,,53,140
54,54,0,[20;65;73;125],[20;65;73;125],[112;-1;-1;-1],[1143;1143;1143;1143],DOWN,[DOWN;LEFT;LEFT;UP],[163;163;163;163],[0;0;0;0],1750,2,60,,54,DOWN,,54,0
55,55,0,[34;23;63;111],[34;23;63;111],[108;-1;-1;-1],[1143;1143;1143;1143],RIGHT,[RIGHT;LEFT;LEFT;LEFT],[135;135;135;135],[0;0;0;0],1750,2,60,,55,UP,,55,200
56,56,0,[8;43;21;132],[8;67;21;132],[136;-1;-1;-1],[1143;1143;1143;1143],UP,[RIGHT;LEFT;LEFT;LEFT],[107;107;107;107],[0;0;0;0],1750,2,60,,56,UP,,56,600
57,57,0,[-1;61;3;114],[-1;85;3;114],[148;-1;-1;-1],[-1;1143;1143;1143],RIGHT,[NEUTRAL;LEFT;LEFT;LEFT],[0;95;95;95],[39;0;0;0],1950,2,60,,57,UP,,57,400
